R0,VE,coverage,traveller_ob_prob,worker_ob_prob
5,0.5,0.1,0.00903,0.14613
6,0.5,0.1,0.01352,0.16433
7,0.5,0.1,0.0137,0.17484
8,0.5,0.1,0.01881,0.18244
9,0.5,0.1,0.02028,0.19702
10,0.5,0.1,0.02102,0.20334
5,0.6,0.1,0.00891,0.12914
6,0.6,0.1,0.00925,0.14966
7,0.6,0.1,0.01261,0.15887
8,0.6,0.1,0.01329,0.17114
9,0.6,0.1,0.01498,0.1762
10,0.6,0.1,0.01752,0.18825
5,0.7,0.1,0.00645,0.11452
6,0.7,0.1,0.00708,0.12124
7,0.7,0.1,0.01039,0.13773
8,0.7,0.1,0.0098,0.15241
9,0.7,0.1,0.01195,0.15702
10,0.7,0.1,0.01556,0.16802
5,0.8,0.1,0.00322,0.0832
6,0.8,0.1,0.00451,0.09048
7,0.8,0.1,0.00415,0.10834
8,0.8,0.1,0.00881,0.11587
9,0.8,0.1,0.00678,0.12944
10,0.8,0.1,0.00889,0.13534
5,0.9,0.1,0.00227,0.03981
6,0.9,0.1,0.00224,0.05574
7,0.9,0.1,0.00327,0.05665
8,0.9,0.1,0.00326,0.06035
9,0.9,0.1,0.00331,0.08245
10,0.9,0.1,0.00413,0.0869
5,0.5,0.2,0.0085,0.13951
6,0.5,0.2,0.01268,0.15995
7,0.5,0.2,0.01388,0.17164
8,0.5,0.2,0.0187,0.17929
9,0.5,0.2,0.02046,0.19143
10,0.5,0.2,0.02095,0.19965
5,0.6,0.2,0.00886,0.12389
6,0.6,0.2,0.00922,0.14233
7,0.6,0.2,0.01155,0.15196
8,0.6,0.2,0.01289,0.16574
9,0.6,0.2,0.01425,0.17021
10,0.6,0.2,0.01602,0.18137
5,0.7,0.2,0.0059,0.1084
6,0.7,0.2,0.0065,0.11498
7,0.7,0.2,0.00938,0.13184
8,0.7,0.2,0.00894,0.14535
9,0.7,0.2,0.0117,0.15172
10,0.7,0.2,0.01477,0.16215
5,0.8,0.2,0.00336,0.07572
6,0.8,0.2,0.0042,0.08455
7,0.8,0.2,0.00368,0.10122
8,0.8,0.2,0.00796,0.11045
9,0.8,0.2,0.00676,0.123
10,0.8,0.2,0.00787,0.12707
5,0.9,0.2,0.00161,0.03534
6,0.9,0.2,0.0019,0.04969
7,0.9,0.2,0.00325,0.0521
8,0.9,0.2,0.00314,0.05671
9,0.9,0.2,0.0038,0.07579
10,0.9,0.2,0.00377,0.08059
5,0.5,0.3,0.00801,0.13511
6,0.5,0.3,0.01283,0.1527
7,0.5,0.3,0.01336,0.16741
8,0.5,0.3,0.01738,0.17219
9,0.5,0.3,0.01913,0.187
10,0.5,0.3,0.01963,0.19515
5,0.6,0.3,0.00832,0.11632
6,0.6,0.3,0.00881,0.1373
7,0.6,0.3,0.0119,0.14502
8,0.6,0.3,0.01222,0.15909
9,0.6,0.3,0.01357,0.16415
10,0.6,0.3,0.01603,0.17428
5,0.7,0.3,0.00575,0.10107
6,0.7,0.3,0.00595,0.10793
7,0.7,0.3,0.00837,0.12405
8,0.7,0.3,0.00896,0.13603
9,0.7,0.3,0.01105,0.14321
10,0.7,0.3,0.01286,0.15598
5,0.8,0.3,0.00291,0.07009
6,0.8,0.3,0.00379,0.07686
7,0.8,0.3,0.00351,0.09253
8,0.8,0.3,0.00732,0.10151
9,0.8,0.3,0.00649,0.11373
10,0.8,0.3,0.00692,0.1185
5,0.9,0.3,0.00158,0.03034
6,0.9,0.3,0.00179,0.04397
7,0.9,0.3,0.00259,0.0472
8,0.9,0.3,0.00336,0.0497
9,0.9,0.3,0.00319,0.07071
10,0.9,0.3,0.00372,0.07499
5,0.5,0.4,0.00795,0.12799
6,0.5,0.4,0.01165,0.1463
7,0.5,0.4,0.01199,0.15924
8,0.5,0.4,0.01707,0.16907
9,0.5,0.4,0.01833,0.1811
10,0.5,0.4,0.01863,0.18874
5,0.6,0.4,0.00762,0.11191
6,0.6,0.4,0.00838,0.12949
7,0.6,0.4,0.01065,0.13841
8,0.6,0.4,0.01124,0.15219
9,0.6,0.4,0.01301,0.15542
10,0.6,0.4,0.01496,0.16851
5,0.7,0.4,0.00482,0.09373
6,0.7,0.4,0.00562,0.10018
7,0.7,0.4,0.00761,0.11655
8,0.7,0.4,0.00794,0.13009
9,0.7,0.4,0.01009,0.13875
10,0.7,0.4,0.01264,0.1471
5,0.8,0.4,0.00241,0.06307
6,0.8,0.4,0.00336,0.06932
7,0.8,0.4,0.00299,0.08632
8,0.8,0.4,0.00702,0.09235
9,0.8,0.4,0.00588,0.10697
10,0.8,0.4,0.00646,0.10932
5,0.9,0.4,0.00136,0.02732
6,0.9,0.4,0.00154,0.04004
7,0.9,0.4,0.00227,0.04035
8,0.9,0.4,0.00228,0.04385
9,0.9,0.4,0.0026,0.0632
10,0.9,0.4,0.00317,0.06538
5,0.5,0.5,0.00715,0.12336
6,0.5,0.5,0.01081,0.14173
7,0.5,0.5,0.01224,0.15259
8,0.5,0.5,0.01582,0.16167
9,0.5,0.5,0.01772,0.17489
10,0.5,0.5,0.01841,0.18453
5,0.6,0.5,0.00737,0.10518
6,0.6,0.5,0.00815,0.12127
7,0.6,0.5,0.00973,0.13113
8,0.6,0.5,0.01093,0.14393
9,0.6,0.5,0.01201,0.1481
10,0.6,0.5,0.01403,0.16193
5,0.7,0.5,0.00445,0.08509
6,0.7,0.5,0.00468,0.09207
7,0.7,0.5,0.00835,0.10708
8,0.7,0.5,0.0074,0.12094
9,0.7,0.5,0.00926,0.12776
