R0,VE,coverage,chance50,chance95
5,0.5,0.1,46.2700000000186,198.825999999978
6,0.5,0.1,29.4833333333227,128.466666666674
7,0.5,0.1,25.7616666666581,108.347999999981
8,0.5,0.1,20.2866666666232,87.9893333333544
9,0.5,0.1,15.7200000000012,68.7266666666837
10,0.5,0.1,15.0633333333535,64.6143333333384
5,0.6,0.1,72.0366666666232,309.581166666634
6,0.6,0.1,56.1349999999984,253.393333333317
7,0.6,0.1,40.9533333332511,178.870000000112
8,0.6,0.1,37.236666666664,160.704333333357
9,0.6,0.1,31.3083333333489,137.218500000008
10,0.6,0.1,23.7800000000279,103.443333333381
5,0.7,0.1,151.766666666721,669.841333333432
6,0.7,0.1,107.666666666511,465.421333333268
7,0.7,0.1,87.0366666666814,367.177499999932
8,0.7,0.1,70.7766666666139,302.826666666588
9,0.7,0.1,57.6666666667443,255.131999999913
10,0.7,0.1,44.6016666666255,193.145166666674
5,0.8,0.1,494.239999999991,2163.58633333326
6,0.8,0.1,333.899999999907,1372.66500000001
7,0.8,0.1,262.966666666791,1114.54216666669
8,0.8,0.1,163,708.130666666664
9,0.8,0.1,164.669999999925,716.973333333107
10,0.8,0.1,138.876666666707,593.685999999998
5,0.9,0.1,2054.22000000021,8897.21833333338
6,0.9,0.1,1769.00166666741,7339.97250000015
7,0.9,0.1,1219.17333333334,5246.97833333318
8,0.9,0.1,1292.06833333324,5796.23100000029
9,0.9,0.1,997.926666666754,4476.54733333308
10,0.9,0.1,1256.73333333334,5437.49866666682
5,0.5,0.2,47.8366666666698,203.611833333265
6,0.5,0.2,30.9166666666715,135.085666666692
7,0.5,0.2,25.1566666667009,108.383333333279
8,0.5,0.2,20.4400000000023,89.6553333334159
9,0.5,0.2,15.873333333293,69.506333333312
10,0.5,0.2,15.1983333333119,65.6296666666851
5,0.6,0.2,72.0633333333335,308.539666666789
6,0.6,0.2,58.0733333332464,254.687333333353
7,0.6,0.2,43.5,188.954000000027
8,0.6,0.2,38.1716666666034,166.683333333352
9,0.6,0.2,32.7700000000477,143.350833333359
10,0.6,0.2,25.2166666666744,107.68433333335
5,0.7,0.2,166.380000000005,725.713166666725
6,0.7,0.2,114.940000000177,498.378333333338
7,0.7,0.2,91.0433333333349,396.393333333335
8,0.7,0.2,75.0400000000373,322.966666666651
9,0.7,0.2,59.6599999999962,260.922666666703
10,0.7,0.2,46.8683333333174,198.983499999985
5,0.8,0.2,509.496666666702,2278.72300000002
6,0.8,0.2,350.010000000009,1465.20600000001
7,0.8,0.2,286.726666666567,1253.68999999997
8,0.8,0.2,179.121666666681,779.729500000039
9,0.8,0.2,171.06333333347,744.563000000044
10,0.8,0.2,151.310000000056,659.681666666536
5,0.9,0.2,2654.0466666664,12246.0021666667
6,0.9,0.2,2012.71166666644,8850.69366666669
7,0.9,0.2,1261.40833333274,5379.64033333389
8,0.9,0.2,1338.10666666646,5775.29500000021
9,0.9,0.2,996.989999999758,4253.13666666667
10,0.9,0.2,1402.41666666698,6092.80933333328
5,0.5,0.3,49.2900000000373,214.344666666654
6,0.5,0.3,31.7133333333768,138.806666666671
7,0.5,0.3,26.2866666666523,114.113333333327
8,0.5,0.3,21.7166666666528,93.7946666666685
9,0.5,0.3,16.6749999999884,71.5066666666971
10,0.5,0.3,15.8699999999953,67.9301666666783
5,0.6,0.3,77.8500000000931,332.678666666592
6,0.6,0.3,60.9866666665766,267.524666666635
7,0.6,0.3,44.2233333333279,194.928333333286
8,0.6,0.3,39.8000000000466,172.627666666656
9,0.6,0.3,34.1799999999348,150.070000000031
10,0.6,0.3,26.054999999993,110.282500000004
5,0.7,0.3,172.871666666586,741.96616666665
6,0.7,0.3,121.573333333246,529.29266666667
7,0.7,0.3,100.506666666653,440.223666666655
8,0.7,0.3,77.7299999999814,336.679999999993
9,0.7,0.3,65.123333333293,278.163333333214
10,0.7,0.3,51.4349999999977,223.362666666793
5,0.8,0.3,573.160000000149,2464.14833333329
6,0.8,0.3,391.040000000037,1693.07599999998
7,0.8,0.3,318.311666666734,1296.4508333332
8,0.8,0.3,198.233333333395,821.803999999911
9,0.8,0.3,175.438333333354,777.064166666692
10,0.8,0.3,168.544999999998,727.667999999947
5,0.9,0.3,2956.40333333329,12237.0375000002
